Month,Day,Hour,Likes Score
1,23,22,2.735901133694795
1,23,18,2.9277861477955924
1,15,23,2.735901133694795
1,15,22,3.263584922471987
1,13,19,2.5919873731191965
1,13,13,2.0643035843420035
5,2,22,3.263584922471987
6,14,20,1.9203898237664057
6,9,21,3.1676424154215894
7,1,18,1.824447316716007
3,22,22,2.0643035843420035
3,22,22,2.400102359018399
3,16,22,3.503441190097984
3,16,22,2.9277861477955924
3,14,20,2.831843640745193
4,31,21,0.625165978586023
4,31,21,3.1676424154215894
4,19,12,2.735901133694795
9,30,21,2.5919873731191965
9,29,22,2.831843640745193
9,8,0,1.6325623026152094
9,1,13,1.440677288514412
10,27,11,1.8724185702412064
10,26,14,2.735901133694795
10,25,0,2.6879298801695954
10,15,15,1.2487922744136146
10,9,21,1.58459104909001
10,7,14,1.7285048096656082
11,19,0,2.879814894270393
11,16,2,2.016332330816804
11,10,1,1.8724185702412064
11,4,15,1.824447316716007
1,28,14,1.8724185702412064
1,26,16,1.7285048096656082
1,10,1,1.9203898237664057
1,6,16,2.9277861477955924
1,6,16,1.5366197955648109
5,28,14,1.5366197955648109
5,24,11,1.440677288514412
5,16,23,1.296763527938814
5,8,21,1.9683610772916047
6,21,1,1.6325623026152094
6,20,20,2.6879298801695954
6,18,0,2.1602460913924024
6,16,19,1.2008210208884154
6,16,19,1.6325623026152094
6,15,13,2.016332330816804
6,9,1,2.256188598442801
6,4,23,1.7285048096656082
6,4,13,1.9683610772916047
6,3,21,1.680533556140409
6,3,1,2.112274837867203
6,3,1,2.208217344917602
6,2,14,1.58459104909001
8,29,16,2.016332330816804
8,26,1,1.8724185702412064
8,23,14,2.400102359018399
8,19,7,2.208217344917602
8,17,12,1.8724185702412064
8,15,0,2.208217344917602
8,13,16,1.440677288514412
8,11,1,2.256188598442801
8,9,1,1.5366197955648109
8,8,2,1.2008210208884154
8,8,2,1.4886485420396112
8,2,17,1.58459104909001
0,30,20,1.9203898237664057
0,26,14,1.824447316716007
0,26,14,1.7285048096656082
0,23,21,1.6325623026152094
0,23,21,1.6325623026152094
0,23,12,2.400102359018399
0,17,17,2.3041598519680004
0,16,12,2.831843640745193
0,16,0,1.7285048096656082
0,14,17,2.4480736125435985
0,12,18,1.680533556140409
0,12,18,1.824447316716007
0,12,18,1.296763527938814
0,12,0,1.9683610772916047
0,12,0,1.4886485420396112
0,11,12,1.680533556140409
0,11,12,1.6325623026152094
0,10,14,1.8724185702412064
0,10,14,1.440677288514412
0,6,0,1.824447316716007
0,5,2,3.0237286548459914
0,5,2,1.824447316716007
7,30,22,2.256188598442801
7,26,9,1.824447316716007
7,26,9,1.296763527938814
7,25,14,2.544016119593997
7,24,15,1.680533556140409
7,23,22,2.208217344917602
7,23,22,2.256188598442801
7,22,22,1.58459104909001
7,22,16,1.680533556140409
7,22,14,2.208217344917602
7,21,20,2.016332330816804
7,19,13,2.112274837867203
7,18,21,1.7764760631908076
7,18,11,1.9683610772916047
7,17,23,1.8724185702412064
7,17,18,1.824447316716007
7,17,0,1.7285048096656082
7,15,14,1.9683610772916047
7,14,23,1.7764760631908076
7,11,22,2.3521311054932
7,10,23,1.8724185702412064
7,8,22,1.2008210208884154
7,6,16,1.8724185702412064
7,5,22,1.680533556140409
7,5,17,2.1602460913924024
7,4,15,1.2487922744136146
7,2,21,2.544016119593997
7,2,21,2.016332330816804
7,2,0,1.9683610772916047
7,1,18,2.496044866068798
7,1,18,3.071699908371191
7,1,18,3.503441190097984
7,1,18,1.0089360067876176
3,27,13,1.7285048096656082
3,24,23,1.58459104909001
3,20,17,1.152849767363216
3,19,19,1.1048785138380166
3,19,0,1.7764760631908076
3,18,23,1.1048785138380166
3,18,23,1.3447347814640136
3,18,16,1.8724185702412064
3,18,13,2.544016119593997
3,17,20,1.4886485420396112
3,14,18,1.9203898237664057
3,13,15,1.5366197955648109
3,11,21,2.544016119593997
3,10,20,1.680533556140409
3,8,16,1.680533556140409
3,8,15,1.680533556140409
3,8,14,1.2008210208884154
3,8,13,1.440677288514412
3,7,23,1.5366197955648109
3,4,7,1.3447347814640136
3,2,14,1.8724185702412064
3,1,17,1.680533556140409
4,31,17,1.9683610772916047
4,30,12,1.58459104909001
4,29,15,1.5366197955648109
4,29,15,1.2008210208884154
4,27,22,1.6325623026152094
4,27,22,1.296763527938814
4,27,13,1.7285048096656082
4,27,13,1.7764760631908076
4,27,13,0.8650222462120197
4,27,1,1.2487922744136146
4,26,23,1.1048785138380166
4,26,15,0.9129934997372192
4,26,12,1.3927060349892129
